Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Reply to Tarp et al.: Comment on: ""Cardiorespiratory Fitness in Childhood and Adolescence Affects Future Cardiovascular Risk Factors: A Systematic Review of Longitudinal Studies"".","/pubmed/30593651","Mintjens S, Menting MD, Daams JG, van Poppel MNM, Roseboom TJ, Gemke RJBJ.","Sports Med. 2018 Dec 28. doi: 10.1007/s40279-018-01042-0. [Epub ahead of print] No abstract available. ","Sports Med.  2018","PubMed","citation","PMID:30593651","pubmed","30593651","create date:2018/12/30 | first author:Mintjens S",
"Comment on: ""Cardiorespiratory Fitness in Childhood and Adolescence Affects Future Cardiovascular Risk Factors: A Systematic Review of Longitudinal Studies"".","/pubmed/30593650","Tarp J, Dalene KE, Steene-Johannessen J, Ekelund U.","Sports Med. 2018 Dec 28. doi: 10.1007/s40279-018-01035-z. [Epub ahead of print] No abstract available. ","Sports Med.  2018","PubMed","citation","PMID:30593650","pubmed","30593650","create date:2018/12/30 | first author:Tarp J",
"Do Non-Responders to Exercise Exist-and If So, What Should We Do About Them?","/pubmed/30560423","Pickering C, Kiely J.","Sports Med. 2018 Dec 17. doi: 10.1007/s40279-018-01041-1. [Epub ahead of print]","Sports Med.  2018","PubMed","citation","PMID:30560423","pubmed","30560423","create date:2018/12/19 | first author:Pickering C",
"The Immediate Effects of Acute Aerobic Exercise on Cognition in Healthy Older Adults: A Systematic Review.","/pubmed/30560422","McSween MP, Coombes JS, MacKay CP, Rodriguez AD, Erickson KI, Copland DA, McMahon KL.","Sports Med. 2018 Dec 17. doi: 10.1007/s40279-018-01039-9. [Epub ahead of print] Review.","Sports Med.  2018","PubMed","citation","PMID:30560422","pubmed","30560422","create date:2018/12/19 | first author:McSween MP",
"Exercise Dose and Weight Loss in Adolescents with Overweight-Obesity: A Meta-Regression.","/pubmed/30560421","Stoner L, Beets MW, Brazendale K, Moore JB, Weaver RG.","Sports Med. 2018 Dec 17. doi: 10.1007/s40279-018-01040-2. [Epub ahead of print] Review.","Sports Med.  2018","PubMed","citation","PMID:30560421","pubmed","30560421","create date:2018/12/19 | first author:Stoner L",
"Authors' Reply to Cross et al.: Comment on: ""The Effectiveness of Resisted Sled Training (RST) for Sprint Performance: A Systematic Review and Meta-analysis"".","/pubmed/30542830","Alcaraz PE, Carlos-Vivas J, Oponjuru BO, Martínez-Rodríguez A.","Sports Med. 2018 Dec 12. doi: 10.1007/s40279-018-01037-x. [Epub ahead of print] No abstract available. ","Sports Med.  2018","PubMed","citation","PMID:30542830","pubmed","30542830","create date:2018/12/14 | first author:Alcaraz PE",
"Comment on: ""The Effectiveness of Resisted Sled Training (RST) for Sprint Performance: A Systematic Review and Meta-analysis"".","/pubmed/30542829","Cross MR, Samozino P, Brown SR, Lahti J, Jimenez-Reyes P, Morin JB.","Sports Med. 2018 Dec 12. doi: 10.1007/s40279-018-01038-w. [Epub ahead of print] No abstract available. ","Sports Med.  2018","PubMed","citation","PMID:30542829","pubmed","30542829","create date:2018/12/14 | first author:Cross MR",
"Challenging Conventional Paradigms in Applied Sports Biomechanics Research.","/pubmed/30511347","Glazier PS, Mehdizadeh S.","Sports Med. 2018 Dec 3. doi: 10.1007/s40279-018-1030-1. [Epub ahead of print]","Sports Med.  2018","PubMed","citation","PMID:30511347","pubmed","30511347","create date:2018/12/05 | first author:Glazier PS",
"Football Compared with Usual Care in Men with Prostate Cancer (FC Prostate Community Trial): A Pragmatic Multicentre Randomized Controlled Trial.","/pubmed/30506427","Bjerre ED, Brasso K, Jørgensen AB, Petersen TH, Eriksen AR, Tolver A, Christensen JF, Poulsen MH, Madsen SS, Østergren PB, Borre M, Krustrup P, Johansen C, Rørth M, Midtgaard J.","Sports Med. 2018 Dec 1. doi: 10.1007/s40279-018-1031-0. [Epub ahead of print]","Sports Med.  2018","PubMed","citation","PMID:30506427","pubmed","30506427","create date:2018/12/07 | first author:Bjerre ED",
"Effects of Resistance Training on Arterial Stiffness in Persons at Risk for Cardiovascular Disease: A Meta-analysis.","/pubmed/30357656","Evans W, Willey Q, Hanson ED, Stoner L.","Sports Med. 2018 Dec;48(12):2785-2795. doi: 10.1007/s40279-018-1001-6. Review.","Sports Med.  2018","PubMed","citation","PMID:30357656","pubmed","30357656","create date:2018/10/26 | first author:Evans W",
"Effects of Jumping Exercise on Muscular Power in Older Adults: A Meta-Analysis.","/pubmed/30341594","Moran J, Ramirez-Campillo R, Granacher U.","Sports Med. 2018 Dec;48(12):2843-2857. doi: 10.1007/s40279-018-1002-5. Review.","Sports Med.  2018","PubMed","citation","PMID:30341594","pubmed","30341594","create date:2018/10/21 | first author:Moran J",
"Adaptations to Concurrent Training in Combination with High Protein Availability: A Comparative Trial in Healthy, Recreationally Active Men.","/pubmed/30341593","Shamim B, Devlin BL, Timmins RG, Tofari P, Lee Dow C, Coffey VG, Hawley JA, Camera DM.","Sports Med. 2018 Dec;48(12):2869-2883. doi: 10.1007/s40279-018-0999-9.","Sports Med.  2018","PubMed","citation","PMID:30341593 | PMCID:PMC6244626","pubmed","30341593","create date:2018/10/21 | first author:Shamim B",
"Sternal Injuries in Sport: A Review of the Literature.","/pubmed/30311081","Alent J, Narducci DM, Moran B, Coris E.","Sports Med. 2018 Dec;48(12):2715-2724. doi: 10.1007/s40279-018-0990-5. Review.","Sports Med.  2018","PubMed","citation","PMID:30311081","pubmed","30311081","create date:2018/10/13 | first author:Alent J",
"Correction to: Considerations in the Use of Body Mass Change to Estimate Change in Hydration Status During a 161-Kilometer Ultramarathon Running Competition.","/pubmed/30311080","Hoffman MD, Goulet EDB, Maughan RJ.","Sports Med. 2018 Dec;48(12):2893-2894. doi: 10.1007/s40279-018-1000-7.","Sports Med.  2018","PubMed","citation","PMID:30311080","pubmed","30311080","create date:2018/10/13 | first author:Hoffman MD",
"Oxidative Stress and Inflammation, Key Targets of Atherosclerotic Plaque Progression and Vulnerability: Potential Impact of Physical Activity.","/pubmed/30302720","Mury P, Chirico EN, Mura M, Millon A, Canet-Soulas E, Pialoux V.","Sports Med. 2018 Dec;48(12):2725-2741. doi: 10.1007/s40279-018-0996-z. Review.","Sports Med.  2018","PubMed","citation","PMID:30302720","pubmed","30302720","create date:2018/10/12 | first author:Mury P",
"Over 50 Years of Researching Force Profiles in Rowing: What Do We Know?","/pubmed/30298480","Warmenhoven J, Cobley S, Draper C, Smith R.","Sports Med. 2018 Dec;48(12):2703-2714. doi: 10.1007/s40279-018-0992-3. Review.","Sports Med.  2018","PubMed","citation","PMID:30298480","pubmed","30298480","create date:2018/10/10 | first author:Warmenhoven J",
"An Updated Systematic Review of Childhood Physical Activity Questionnaires.","/pubmed/30298479","Hidding LM, Chinapaw MJM, van Poppel MNM, Mokkink LB, Altenburg TM.","Sports Med. 2018 Dec;48(12):2797-2842. doi: 10.1007/s40279-018-0987-0. Review.","Sports Med.  2018","PubMed","citation","PMID:30298479 | PMCID:PMC6244567","pubmed","30298479","create date:2018/10/10 | first author:Hidding LM",
"Ankle Bracing is Effective for Primary and Secondary Prevention of Acute Ankle Injuries in Athletes: A Systematic Review and Meta-Analyses.","/pubmed/30298478","Barelds I, van den Broek AG, Huisstede BMA.","Sports Med. 2018 Dec;48(12):2775-2784. doi: 10.1007/s40279-018-0993-2. Review.","Sports Med.  2018","PubMed","citation","PMID:30298478","pubmed","30298478","create date:2018/10/10 | first author:Barelds I",
