Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Dietary behaviors throughout childhood are associated with adiposity and estimated insulin resistance in early adolescence: a longitudinal study.","/pubmed/30558613","Gingras V, Rifas-Shiman SL, Taveras EM, Oken E, Hivert MF.","Int J Behav Nutr Phys Act. 2018 Dec 17;15(1):129. doi: 10.1186/s12966-018-0759-0.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30558613 | PMCID:PMC6296122","pubmed","30558613","create date:2018/12/19 | first author:Gingras V",
"Analysing the use of the Australian Health Star Rating system by level of food processing.","/pubmed/30545373","Dickie S, Woods JL, Lawrence M.","Int J Behav Nutr Phys Act. 2018 Dec 13;15(1):128. doi: 10.1186/s12966-018-0760-7.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30545373 | PMCID:PMC6293654","pubmed","30545373","create date:2018/12/14 | first author:Dickie S",
"Effectiveness and cost-effectiveness of a loyalty scheme for physical activity behaviour change maintenance: results from a cluster randomised controlled trial.","/pubmed/30541563","Hunter RF, Murray JM, Gough A, Tang J, Patterson CC, French DP, McIntosh E, Xin Y, Kee F; Physical Activity Loyalty (PAL) Study team..","Int J Behav Nutr Phys Act. 2018 Dec 12;15(1):127. doi: 10.1186/s12966-018-0758-1.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30541563 | PMCID:PMC6291971","pubmed","30541563","create date:2018/12/14 | first author:Hunter RF",
"Longitudinal analysis of physical activity, sedentary behaviour and anthropometric measures from ages 6 to 11 years.","/pubmed/30526600","Schwarzfischer P, Gruszfeld D, Socha P, Luque V, Closa-Monasterolo R, Rousseaux D, Moretti M, Mariani B, Verduci E, Koletzko B, Grote V.","Int J Behav Nutr Phys Act. 2018 Dec 7;15(1):126. doi: 10.1186/s12966-018-0756-3.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30526600 | PMCID:PMC6286599","pubmed","30526600","create date:2018/12/12 | first author:Schwarzfischer P",
"Socio-economic and age variations in response to supermarket-led checkout food policies: a repeated measures analysis.","/pubmed/30518393","Ejlerskov K, Sharp SJ, Stead M, Adamson AJ, White M, Adams J.","Int J Behav Nutr Phys Act. 2018 Dec 5;15(1):125. doi: 10.1186/s12966-018-0755-4.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30518393 | PMCID:PMC6282373","pubmed","30518393","create date:2018/12/07 | first author:Ejlerskov K",
"Correction to: RiseTx: testing the feasibility of a web application for reducing sedentary behavior among prostate cancer survivors receiving androgen deprivation therapy.","/pubmed/30514302","Trinh L, Arbour-Nicitopoulos KP, Sabiston CM, Berry SR, Loblaw A, Alibhai SMH, Jones JM, Faulkner GE.","Int J Behav Nutr Phys Act. 2018 Dec 4;15(1):124. doi: 10.1186/s12966-018-0757-2.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30514302 | PMCID:PMC6280408","pubmed","30514302","create date:2018/12/06 | first author:Trinh L",
"A global systematic scoping review of studies analysing indicators, development, and content of national-level physical activity and sedentary behaviour policies.","/pubmed/30486826","Klepac Pogrmilovic B, O'Sullivan G, Milton K, Biddle SJH, Bauman A, Bull F, Kahlmeier S, Pratt M, Pedisic Z.","Int J Behav Nutr Phys Act. 2018 Nov 28;15(1):123. doi: 10.1186/s12966-018-0742-9.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30486826 | PMCID:PMC6263060","pubmed","30486826","create date:2018/11/30 | first author:Klepac Pogrmilovic B",
"Descriptive epidemiology of changes in objectively measured sedentary behaviour and physical activity: six-year follow-up of the EPIC-Norfolk cohort.","/pubmed/30482229","Hajna S, White T, Brage S, van Sluijs EMF, Westgate K, Jones AP, Luben R, Khaw KT, Wareham NJ, Griffin SJ.","Int J Behav Nutr Phys Act. 2018 Nov 27;15(1):122. doi: 10.1186/s12966-018-0746-5.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30482229 | PMCID:PMC6257971","pubmed","30482229","create date:2018/11/30 | first author:Hajna S",
"Examining changes in school vending machine beverage availability and sugar-sweetened beverage intake among Canadian adolescents participating in the COMPASS study: a longitudinal assessment of provincial school nutrition policy compliance and effectiveness.","/pubmed/30482211","Godin KM, Hammond D, Chaurasia A, Leatherdale ST.","Int J Behav Nutr Phys Act. 2018 Nov 27;15(1):121. doi: 10.1186/s12966-018-0754-5.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30482211 | PMCID:PMC6257956","pubmed","30482211","create date:2018/11/30 | first author:Godin KM",
"24-h movement behaviors from infancy to preschool: cross-sectional and longitudinal relationships with body composition and bone health.","/pubmed/30477518","Taylor RW, Haszard JJ, Meredith-Jones KA, Galland BC, Heath AM, Lawrence J, Gray AR, Sayers R, Hanna M, Taylor BJ.","Int J Behav Nutr Phys Act. 2018 Nov 26;15(1):118. doi: 10.1186/s12966-018-0753-6.","Int J Behav Nutr Phys Act.  2018","PubMed","citation","PMID:30477518 | PMCID:PMC6260686","pubmed","30477518","create date:2018/11/28 | first author:Taylor RW",
