Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A combined physical activity and fall prevention intervention improved mobility-related goal attainment but not physical activity in older adults: a randomised trial.","/pubmed/30581138","Oliveira JS, Sherrington C, Paul SS, Ramsay E, Chamberlain K, Kirkham C, O'Rourke SD, Hassett L, Tiedemann A.","J Physiother. 2019 Jan;65(1):16-22. doi: 10.1016/j.jphys.2018.11.005. Epub 2018 Dec 21.","J Physiother.  2019","PubMed","citation","PMID:30581138","pubmed","30581138","create date:2018/12/26 | first author:Oliveira JS",
"Combined training is the most effective training modality to improve aerobic capacity and blood pressure control in people requiring haemodialysis for end-stage renal disease: systematic review and network meta-analysis.","/pubmed/30581137","Scapini KB, Bohlke M, Moraes OA, Rodrigues CG, Inácio JF, Sbruzzi G, Leguisamo CP, Sanches IC, Tourinho Filho H, Irigoyen MC.","J Physiother. 2019 Jan;65(1):4-15. doi: 10.1016/j.jphys.2018.11.008. Epub 2018 Dec 21.","J Physiother.  2019","PubMed","citation","PMID:30581137","pubmed","30581137","create date:2018/12/26 | first author:Scapini KB",
"Women with gestational diabetes mellitus want clear and practical messages from credible sources about physical activity during pregnancy: a qualitative study.","/pubmed/30573442","Harrison AL, Taylor NF, Frawley HC, Shields N.","J Physiother. 2019 Jan;65(1):37-42. doi: 10.1016/j.jphys.2018.11.007. Epub 2018 Dec 17.","J Physiother.  2019","PubMed","citation","PMID:30573442","pubmed","30573442","create date:2018/12/24 | first author:Harrison AL",
"People undertaking pulmonary rehabilitation are willing and able to provide accurate data via a remote pulse oximetry system: a multicentre observational study.","/pubmed/30573441","Bonnevie T, Gravier FE, Elkins M, Dupuis J, Prieur G, Combret Y, Viacroze C, Debeaumont D, Robleda-Quesada A, Quieffin J, Lamia B, Patout M, Cuvelier A, Muir JF, Medrinal C, Tardif C.","J Physiother. 2019 Jan;65(1):28-36. doi: 10.1016/j.jphys.2018.11.002. Epub 2018 Dec 17.","J Physiother.  2019","PubMed","citation","PMID:30573441","pubmed","30573441","create date:2018/12/24 | first author:Bonnevie T",
"In inpatient rehabilitation, large amounts of practice can occur safely without direct therapist supervision: an observational study.","/pubmed/30573440","Dorsch S, Weeks K, King L, Polman E.","J Physiother. 2019 Jan;65(1):23-27. doi: 10.1016/j.jphys.2018.11.004. Epub 2018 Dec 17.","J Physiother.  2019","PubMed","citation","PMID:30573440","pubmed","30573440","create date:2018/12/24 | first author:Dorsch S",
"Exercise is commonly used as a substitute for traditional airway clearance techniques by adults with cystic fibrosis in Australia: a survey.","/pubmed/30559063","Ward N, Stiller K, Holland AE; Australian Cystic Fibrosis Exercise Survey group..","J Physiother. 2019 Jan;65(1):43-50. doi: 10.1016/j.jphys.2018.11.006. Epub 2018 Dec 14.","J Physiother.  2019","PubMed","citation","PMID:30559063","pubmed","30559063","create date:2018/12/19 | first author:Ward N",
"The emerging field of epigenetics and its relevance for the physiotherapy profession.","/pubmed/30551954","Polli A, Ickmans K, Godderis L, Nijs J.","J Physiother. 2019 Jan;65(1):1-2. doi: 10.1016/j.jphys.2018.11.003. Epub 2018 Dec 11. No abstract available. ","J Physiother.  2019","PubMed","citation","PMID:30551954","pubmed","30551954","create date:2018/12/16 | first author:Polli A",
"Critically appraised paper: A 12-week pedometer-based intervention, delivered in primary care, produces long-term gains in physical activity [commentary].","/pubmed/30528854","Lowe A.","J Physiother. 2019 Jan;65(1):54. doi: 10.1016/j.jphys.2018.08.014. Epub 2018 Dec 6. No abstract available. ","J Physiother.  2019","PubMed","citation","PMID:30528854","pubmed","30528854","create date:2018/12/12 | first author:Lowe A",
"Appraisal of Clinical Practice Guideline: Knee Pain and Mobility Impairments: Meniscal and Articular Cartilage Lesions Revision 2018.","/pubmed/30528853","Nazari G.","J Physiother. 2019 Jan;65(1):57. doi: 10.1016/j.jphys.2018.10.006. Epub 2018 Dec 6. No abstract available. ","J Physiother.  2019","PubMed","citation","PMID:30528853","pubmed","30528853","create date:2018/12/12 | first author:Nazari G",
"Critically appraised paper: Hip arthroscopy is more effective than personalised hip therapy for improving hip-related quality of life in patients with femoroacetabular impingement syndrome [commentary].","/pubmed/30528852","Kemp JL.","J Physiother. 2019 Jan;65(1):51. doi: 10.1016/j.jphys.2018.08.009. Epub 2018 Dec 6. No abstract available. ","J Physiother.  2019","PubMed","citation","PMID:30528852","pubmed","30528852","create date:2018/12/12 | first author:Kemp JL",
