Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Assessment of oxygen-uptake efficiency slope in healthy children and children with heart disease: Generation of appropriate reference values for the OUES variable.","/pubmed/30354736","Hossri CA, Souza IPA, de Oliveira JS, Mastrocola LE.","Eur J Prev Cardiol. 2019 Jan;26(2):177-184. doi: 10.1177/2047487318807977. Epub 2018 Oct 24.","Eur J Prev Cardiol.  2019","PubMed","citation","PMID:30354736","pubmed","30354736","create date:2018/10/26 | first author:Hossri CA",
"Safety and efficacy of aerobic exercise commenced early after cardiac surgery: A systematic review and meta-analysis.","/pubmed/30188177","Doyle MP, Indraratna P, Tardo DT, Peeceeyen SC, Peoples GE.","Eur J Prev Cardiol. 2019 Jan;26(1):36-45. doi: 10.1177/2047487318798924. Epub 2018 Sep 6.","Eur J Prev Cardiol.  2019","PubMed","citation","PMID:30188177","pubmed","30188177","create date:2018/09/07 | first author:Doyle MP",
"Hypertension in Africa.","/pubmed/30595049","Spence JD.","Eur J Prev Cardiol. 2018 Dec 30:2047487318823575. doi: 10.1177/2047487318823575. [Epub ahead of print] No abstract available. ","Eur J Prev Cardiol.  2018","PubMed","citation","PMID:30595049","pubmed","30595049","create date:2019/01/01 | first author:Spence JD",
"Prevention is back in the spotlight - Highlights from American Heart Association Scientific Sessions 2018.","/pubmed/30580578","Krychtiuk KA, Speidl WS.","Eur J Prev Cardiol. 2018 Dec 22:2047487318820977. doi: 10.1177/2047487318820977. [Epub ahead of print] No abstract available. ","Eur J Prev Cardiol.  2018","PubMed","citation","PMID:30580578","pubmed","30580578","create date:2018/12/26 | first author:Krychtiuk KA",
"Parity and risk of maternal cardiovascular disease: A dose-response meta-analysis of cohort studies.","/pubmed/30567461","Li W, Ruan W, Lu Z, Wang D.","Eur J Prev Cardiol. 2018 Dec 19:2047487318818265. doi: 10.1177/2047487318818265. [Epub ahead of print]","Eur J Prev Cardiol.  2018","PubMed","citation","PMID:30567461","pubmed","30567461","create date:2018/12/21 | first author:Li W",
"Testosterone, sex hormone-binding globulin and risk of cardiovascular events: A report from the Outcome Reduction with an Initial Glargine Intervention trial.","/pubmed/30567457","Wang A, Arver S, Boman K, Gerstein HC, Fu Lee S, Hess S, Rydén L, Mellbin LG.","Eur J Prev Cardiol. 2018 Dec 19:2047487318819142. doi: 10.1177/2047487318819142. [Epub ahead of print]","Eur J Prev Cardiol.  2018","PubMed","citation","PMID:30567457","pubmed","30567457","create date:2018/12/21 | first author:Wang A",
"EmPHasis-10 score for the assessment of quality of life in various types of pulmonary hypertension and its relation to outcome.","/pubmed/30567456","Favoccia C, Kempny A, Yorke J, Armstrong I, Price LC, McCabe C, Harries C, Wort SJ, Dimopoulos K.","Eur J Prev Cardiol. 2018 Dec 19:2047487318819161. doi: 10.1177/2047487318819161. [Epub ahead of print] No abstract available. ","Eur J Prev Cardiol.  2018","PubMed","citation","PMID:30567456","pubmed","30567456","create date:2018/12/21 | first author:Favoccia C",
"T-wave inversion in young athletes: Should we check their bones or their identity card? The quest for precision medicine.","/pubmed/30545251","Guasch E, Sanz-de la Garza M, Mont L.","Eur J Prev Cardiol. 2018 Dec 13:2047487318820665. doi: 10.1177/2047487318820665. [Epub ahead of print] No abstract available. ","Eur J Prev Cardiol.  2018","PubMed","citation","PMID:30545251","pubmed","30545251","create date:2018/12/14 | first author:Guasch E",
"Increasing high-density lipoprotein cholesterol levels for cardiovascular benefit: The end of a dream?","/pubmed/30545250","Pirillo A, Luigi Catapano A.","Eur J Prev Cardiol. 2018 Dec 13:2047487318820976. doi: 10.1177/2047487318820976. [Epub ahead of print] No abstract available. ","Eur J Prev Cardiol.  2018","PubMed","citation","PMID:30545250","pubmed","30545250","create date:2018/12/14 | first author:Pirillo A",
"Impact of blood pressure lowering, cholesterol lowering and their combination in Asians and non-Asians in those without cardiovascular disease: an analysis of the HOPE 3 study.","/pubmed/30537846","Pais P, Jung H, Dans A, Zhu J, Liu L, Kamath D, Bosch J, Lonn E, Yusuf S.","Eur J Prev Cardiol. 2018 Dec 11:2047487318819019. doi: 10.1177/2047487318819019. [Epub ahead of print]","Eur J Prev Cardiol.  2018","PubMed","citation","PMID:30537846","pubmed","30537846","create date:2018/12/13 | first author:Pais P",
