Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Physical activity and weight following car ownership in Beijing, China: quasi-experimental cross sectional study.","/pubmed/31852683","Anderson ML, Lu F, Yang J.","BMJ. 2019 Dec 18;367:l6491. doi: 10.1136/bmj.l6491.","BMJ.  2019","PubMed","citation","PMID:31852683","pubmed","31852683","create date:2019/12/20 | first author:Anderson ML",
"The art of life and death: 14 year follow-up analyses of associations between arts engagement and mortality in the English Longitudinal Study of Ageing.","/pubmed/31852659","Fancourt D, Steptoe A.","BMJ. 2019 Dec 18;367:l6377. doi: 10.1136/bmj.l6377.","BMJ.  2019","PubMed","citation","PMID:31852659","pubmed","31852659","create date:2019/12/20 | first author:Fancourt D",
"Hospital-Level Care at Home for Acutely Ill Adults: A Randomized Controlled Trial.","/pubmed/31842232","Levine DM, Ouchi K, Blanchfield B, Saenz A, Burke K, Paz M, Diamond K, Pu CT, Schnipper JL.","Ann Intern Med. 2019 Dec 17. doi: 10.7326/M19-0600. [Epub ahead of print]","Ann Intern Med.  2019","PubMed","citation","PMID:31842232","pubmed","31842232","create date:2019/12/17 | first author:Levine DM",
"Associations of dairy intake with risk of mortality in women and men: three prospective cohort studies.","/pubmed/31776125","Ding M, Li J, Qi L, Ellervik C, Zhang X, Manson JE, Stampfer M, Chavarro JE, Rexrode KM, Kraft P, Chasman D, Willett WC, Hu FB.","BMJ. 2019 Nov 27;367:l6204. doi: 10.1136/bmj.l6204.","BMJ.  2019","PubMed","citation","PMID:31776125 | PMCID:PMC6880246","pubmed","31776125","create date:2019/11/30 | first author:Ding M",
"Platelet rich plasma injection for acute Achilles tendon rupture: PATH-2 randomised, placebo controlled, superiority trial.","/pubmed/31748208","Keene DJ, Alsousou J, Harrison P, Hulley P, Wagland S, Parsons SR, Thompson JY, O'Connor HM, Schlüssel MM, Dutton SJ, Lamb SE, Willett K; PATH-2 trial group..","BMJ. 2019 Nov 20;367:l6132. doi: 10.1136/bmj.l6132.","BMJ.  2019","PubMed","citation","PMID:31748208 | PMCID:PMC6863552","pubmed","31748208","create date:2019/11/22 | first author:Keene DJ",
"Effect of Electronic Health Record-Based Coaching on Weight Maintenance: A Randomized Trial.","/pubmed/31711168","Conroy MB, McTigue KM, Bryce CL, Tudorascu D, Barone Gibbs B, Arnold J, Comer D, Hess R, Huber K, Simkin-Silverman LR, Fischer GS.","Ann Intern Med. 2019 Nov 12. doi: 10.7326/M18-3337. [Epub ahead of print]","Ann Intern Med.  2019","PubMed","citation","PMID:31711168","pubmed","31711168","create date:2019/11/12 | first author:Conroy MB",
"Internet based vestibular rehabilitation with and without physiotherapy support for adults aged 50 and older with a chronic vestibular syndrome in general practice: three armed randomised controlled trial.","/pubmed/31690561","van Vugt VA, van der Wouden JC, Essery R, Yardley L, Twisk JWR, van der Horst HE, Maarsingh OR.","BMJ. 2019 Nov 5;367:l5922. doi: 10.1136/bmj.l5922.","BMJ.  2019","PubMed","citation","PMID:31690561 | PMCID:PMC6829201","pubmed","31690561","create date:2019/11/07 | first author:van Vugt VA",
"Effect of a Nutritional and Behavioral Intervention on Energy-Reduced Mediterranean Diet Adherence Among Patients With Metabolic Syndrome: Interim Analysis of the PREDIMED-Plus Randomized Clinical Trial.","/pubmed/31613346","Sayón-Orea C, Razquin C, Bulló M, Corella D, Fitó M, Romaguera D, Vioque J, Alonso-Gómez ÁM, Wärnberg J, Martínez JA, Serra-Majem L, Estruch R, Tinahones FJ, Lapetra J, Pintó X, Tur JA, López-Miranda J, Bueno-Cavanillas A, Delgado-Rodríguez M, Matía-Martín P, Daimiel L, Sánchez VM, et al.","JAMA. 2019 Oct 15;322(15):1486-1499. doi: 10.1001/jama.2019.14630.","JAMA.  2019","PubMed","citation","PMID:31613346 | PMCID:PMC6802271","pubmed","31613346","create date:2019/10/16 | first author:Sayón-Orea C",
"How women are treated during facility-based childbirth in four countries: a cross-sectional study with labour observations and community-based surveys.","/pubmed/31604660","Bohren MA, Mehrtash H, Fawole B, Maung TM, Balde MD, Maya E, Thwin SS, Aderoba AK, Vogel JP, Irinyenikan TA, Adeyanju AO, Mon NO, Adu-Bonsaffoh K, Landoulsi S, Guure C, Adanu R, Diallo BA, Gülmezoglu AM, Soumah AM, Sall AO, Tunçalp Ö.","Lancet. 2019 Nov 9;394(10210):1750-1763. doi: 10.1016/S0140-6736(19)31992-0. Epub 2019 Oct 8.","Lancet.  2019","PubMed","citation","PMID:31604660 | PMCID:PMC6853169","pubmed","31604660","create date:2019/10/13 | first author:Bohren MA",
"Effect of a Hospital-Initiated Program Combining Transitional Care and Long-term Self-management Support on Outcomes of Patients Hospitalized With Chronic Obstructive Pulmonary Disease: A Randomized Clinical Trial.","/pubmed/31593271","Aboumatar H, Naqibuddin M, Chung S, Chaudhry H, Kim SW, Saunders J, Bone L, Gurses AP, Knowlton A, Pronovost P, Putcha N, Rand C, Roter D, Sylvester C, Thompson C, Wolff JL, Hibbard J, Wise RA.","JAMA. 2019 Oct 8;322(14):1371-1380. doi: 10.1001/jama.2019.11982.","JAMA.  2019","PubMed","citation","PMID:31593271 | PMCID:PMC6784754","pubmed","31593271","create date:2019/10/09 | first author:Aboumatar H",
