Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Exercise alone and exercise combined with education both prevent episodes of low back pain and related absenteeism: systematic review and network meta-analysis of randomised controlled trials (RCTs) aimed at preventing back pain.","/pubmed/31672696","Huang R, Ning J, Chuter VH, Taylor JB, Christophe D, Meng Z, Xu Y, Jiang L.","Br J Sports Med. 2019 Oct 31. pii: bjsports-2018-100035. doi: 10.1136/bjsports-2018-100035. [Epub ahead of print] Review.","Br J Sports Med.  2019","PubMed","citation","PMID:31672696","pubmed","31672696","create date:2019/11/02 | first author:Huang R",
"Substituting prolonged sedentary time and cardiovascular risk in children and youth: a meta-analysis within the International Children's Accelerometry database (ICAD).","/pubmed/31672163","Wijndaele K, White T, Andersen LB, Bugge A, Kolle E, Northstone K, Wedderkopp N, Ried-Larsen M, Kriemler S, Page AS, Puder JJ, Reilly JJ, Sardinha LB, van Sluijs EMF, Sharp SJ, Brage S, Ekelund U; International Children’s Accelerometry Database (ICAD) Collaborators., Andersen LB, Atkin AJ, Cardon G, Davey R, et al.","Int J Behav Nutr Phys Act. 2019 Oct 31;16(1):96. doi: 10.1186/s12966-019-0858-6.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31672163","pubmed","31672163","create date:2019/11/02 | first author:Wijndaele K",
"Native-Osteoarthritic Joint Resident Stem and Progenitor Cells for Cartilage Cell-Based Therapies: A Quantitative Comparison With Respect to Concentration and Biological Performance.","/pubmed/31671273","Mantripragada VP, Bova WA, Piuzzi NS, Boehm C, Obuchowski NA, Midura RJ, Muschler GF.","Am J Sports Med. 2019 Oct 31:363546519880905. doi: 10.1177/0363546519880905. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31671273","pubmed","31671273","create date:2019/11/02 | first author:Mantripragada VP",
"Which specific modes of exercise training are most effective for treating low back pain? Network meta-analysis.","/pubmed/31666220","Owen PJ, Miller CT, Mundell NL, Verswijveren SJ, Tagliaferri SD, Brisby H, Bowe SJ, Belavy DL.","Br J Sports Med. 2019 Oct 30. pii: bjsports-2019-100886. doi: 10.1136/bjsports-2019-100886. [Epub ahead of print] Review.","Br J Sports Med.  2019","PubMed","citation","PMID:31666220","pubmed","31666220","create date:2019/11/02 | first author:Owen PJ",
"A systematic review and meta-analysis of the overall effects of school-based obesity prevention interventions and effect differences by intervention components.","/pubmed/31665040","Liu Z, Xu HM, Wen LM, Peng YZ, Lin LZ, Zhou S, Li WH, Wang HJ.","Int J Behav Nutr Phys Act. 2019 Oct 29;16(1):95. doi: 10.1186/s12966-019-0848-8. Review.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31665040 | PMCID:PMC6819386","pubmed","31665040","create date:2019/10/31 | first author:Liu Z",
"Menstrual and oral contraceptive cycle phases do not affect submaximal and maximal exercise responses.","/pubmed/31663173","Mattu AT, Iannetta D, MacInnis MJ, Doyle-Baker PK, Murias JM.","Scand J Med Sci Sports. 2019 Oct 30. doi: 10.1111/sms.13590. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31663173","pubmed","31663173","create date:2019/10/31 | first author:Mattu AT",
"Sleep - the yet underappreciated player in cardiovascular diseases: A clinical review from the German Cardiac Society Working Group on Sleep Disordered Breathing.","/pubmed/31658829","Spiesshoefer J, Linz D, Skobel E, Arzt M, Stadler S, Schoebel C, Fietze I, Penzel T, Sinha AM, Fox H, Oldenburg O, On Behalf Of The German Cardiac Society Working Group On Sleep Disordered Breathing Ag-Deutsche Gesellschaft Für Kardiologie Herz Und Kreislaufforschung E V O.","Eur J Prev Cardiol. 2019 Oct 29:2047487319879526. doi: 10.1177/2047487319879526. [Epub ahead of print]","Eur J Prev Cardiol.  2019","PubMed","citation","PMID:31658829","pubmed","31658829","create date:2019/10/30 | first author:Spiesshoefer J",
"Cost-effectiveness of exercise therapy in patients with coronary heart disease, chronic heart failure and associated risk factors: A systematic review of economic evaluations of randomized clinical trials.","/pubmed/31657233","Oldridge N, Taylor RS.","Eur J Prev Cardiol. 2019 Oct 26:2047487319881839. doi: 10.1177/2047487319881839. [Epub ahead of print]","Eur J Prev Cardiol.  2019","PubMed","citation","PMID:31657233","pubmed","31657233","create date:2019/10/28 | first author:Oldridge N",
"A systematic review of the effect of infrastructural interventions to promote cycling: strengthening causal inference from observational data.","/pubmed/31655609","Mölenberg FJM, Panter J, Burdorf A, van Lenthe FJ.","Int J Behav Nutr Phys Act. 2019 Oct 26;16(1):93. doi: 10.1186/s12966-019-0850-1. Review.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31655609 | PMCID:PMC6815350","pubmed","31655609","create date:2019/10/28 | first author:Mölenberg FJM",
"Child maltreatment in sport: smashing the wall of silence: a narrative review of physical, sexual, psychological abuses and neglect.","/pubmed/31653778","Fortier K, Parent S, Lessard G.","Br J Sports Med. 2019 Oct 25. pii: bjsports-2018-100224. doi: 10.1136/bjsports-2018-100224. [Epub ahead of print] Review.","Br J Sports Med.  2019","PubMed","citation","PMID:31653778","pubmed","31653778","create date:2019/10/28 | first author:Fortier K",
