Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Return to Sport Tests' Prognostic Value for Reinjury Risk after ACL Reconstruction.","/pubmed/31895299","Ashigbi EYK, Banzer W, Niederer D.","Med Sci Sports Exerc. 2019 Dec 31. doi: 10.1249/MSS.0000000000002246. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31895299","pubmed","31895299","create date:2020/01/03 | first author:Ashigbi EYK",
"Lactalbumin, Not Collagen, Augments Muscle Protein Synthesis with Aerobic Exercise.","/pubmed/31895298","Oikawa SY, MacInnis MJ, Tripp TR, McGlory C, Baker SK, Phillips SM.","Med Sci Sports Exerc. 2019 Dec 31. doi: 10.1249/MSS.0000000000002253. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31895298","pubmed","31895298","create date:2020/01/03 | first author:Oikawa SY",
"Predictors of the Acute Postprandial Response to Breaking Up Prolonged Sitting.","/pubmed/31895295","Henson J, Edwardson CL, Celis-Morales CA, Davies MJ, Dunstan DW, Esliger DW, Gill JMR, Kazi A, Khunti K, King J, McCarthy M, Sattar N, Stensel DJ, Velayudhan L, Zaccardi F, Yates T.","Med Sci Sports Exerc. 2019 Dec 31. doi: 10.1249/MSS.0000000000002249. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31895295","pubmed","31895295","create date:2020/01/03 | first author:Henson J",
"The availability of task-specific feedback does not affect 20 km time trial cycling performance or test-retest reliability in trained cyclists.","/pubmed/31892509","Borg DN, Osborne JO, Stewart IB, Costello JT, Headrick J, McMaster BS, Borg SJ, Minett GM.","J Sci Med Sport. 2019 Dec 23. pii: S1440-2440(19)31234-4. doi: 10.1016/j.jsams.2019.12.024. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31892509","pubmed","31892509","create date:2020/01/02 | first author:Borg DN",
"Physical and perceptual cooling: Improving cognitive function, mood disturbance and time to fatigue in the heat.","/pubmed/31884683","Saldaris JM, Landers GJ, Lay BS.","Scand J Med Sci Sports. 2019 Dec 29. doi: 10.1111/sms.13623. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31884683","pubmed","31884683","create date:2019/12/31 | first author:Saldaris JM",
"Validity and reliability of isometric tests for the evidence-based assessment of arm strength impairment in wheelchair rugby classification.","/pubmed/31883779","Mason BS, Altmann VC, Hutchinson MJ, Goosey-Tolfrey VL.","J Sci Med Sport. 2019 Dec 23. pii: S1440-2440(19)31257-5. doi: 10.1016/j.jsams.2019.12.022. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31883779","pubmed","31883779","create date:2019/12/31 | first author:Mason BS",
"Longitudinal association of changes in diet with changes in body weight and waist circumference in subjects at high cardiovascular risk: the PREDIMED trial.","/pubmed/31882021","Konieczna J, Romaguera D, Pereira V, Fiol M, Razquin C, Estruch R, Asensio EM, Babio N, Fitó M, Gómez-Gracia E, Ros E, Lapetra J, Arós F, Serra-Majem L, Pintó X, Toledo E, Sorlí JV, Bulló M, Schröder H, Martínez-González MA.","Int J Behav Nutr Phys Act. 2019 Dec 27;16(1):139. doi: 10.1186/s12966-019-0893-3.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31882021 | PMCID:PMC6935084","pubmed","31882021","create date:2019/12/29 | first author:Konieczna J",
"Rural physical activity interventions in the United States: a systematic review and RE-AIM evaluation.","/pubmed/31882013","Bhuiyan N, Singh P, Harden SM, Mama SK.","Int J Behav Nutr Phys Act. 2019 Dec 27;16(1):140. doi: 10.1186/s12966-019-0903-5. Review.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31882013 | PMCID:PMC6935185","pubmed","31882013","create date:2019/12/29 | first author:Bhuiyan N",
"The Influence of Lumbosacral Spine Pathology on Minimum 2-Year Outcome After Hip Arthroscopy: A Nested Case-Control Analysis.","/pubmed/31877059","Beck EC, Nwachukwu BU, Chapman R, Gowd AK, Waterman BR, Nho SJ.","Am J Sports Med. 2019 Dec 26:363546519892916. doi: 10.1177/0363546519892916. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31877059","pubmed","31877059","create date:2019/12/27 | first author:Beck EC",
"Hyperbaric Oxygen Therapy in Sports Musculoskeletal Injuries.","/pubmed/31876671","Moghadam N, Hieda M, Ramey L, Levine BD, Guilliod R.","Med Sci Sports Exerc. 2019 Dec 23. doi: 10.1249/MSS.0000000000002257. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31876671","pubmed","31876671","create date:2019/12/27 | first author:Moghadam N",
"Differences in Respiratory Muscle Responses to Hyperpnea or Loaded Breathing in COPD.","/pubmed/31876666","Rodrigues A, Louvaris Z, Dacha S, Janssens W, Pitta F, Vogiatizis I, Gosselink R, Langer D.","Med Sci Sports Exerc. 2019 Dec 23. doi: 10.1249/MSS.0000000000002222. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31876666","pubmed","31876666","create date:2019/12/27 | first author:Rodrigues A",
"Standing Out From the Crowd: Identifying the Traits and Behaviors that Characterize High-Quality Athlete Leaders.","/pubmed/31876007","Fransen K, Haslam SA, Steffens NK, Boen F.","Scand J Med Sci Sports. 2019 Dec 25. doi: 10.1111/sms.13620. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31876007","pubmed","31876007","create date:2019/12/27 | first author:Fransen K",
"Intra-articular Injection of Culture-Expanded Mesenchymal Stem Cells Without Adjuvant Surgery in Knee Osteoarthritis: A Systematic Review and Meta-analysis.","/pubmed/31874044","Kim SH, Djaja YP, Park YB, Park JG, Ko YB, Ha CW.","Am J Sports Med. 2019 Dec 24:363546519892278. doi: 10.1177/0363546519892278. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31874044","pubmed","31874044","create date:2019/12/25 | first author:Kim SH",
"Lifelong Endurance Exercise as a Countermeasure Against Age-Related [Formula: see text] Decline: Physiological Overview and Insights from Masters Athletes.","/pubmed/31873927","Valenzuela PL, Maffiuletti NA, Joyner MJ, Lucia A, Lepers R.","Sports Med. 2019 Dec 24. doi: 10.1007/s40279-019-01252-0. [Epub ahead of print] Review.","Sports Med.  2019","PubMed","citation","PMID:31873927","pubmed","31873927","create date:2019/12/25 | first author:Valenzuela PL",
"Effects of Prior Cognitive Exertion on Physical Performance: A Systematic Review and Meta-analysis.","/pubmed/31873926","Brown DMY, Graham JD, Innes KI, Harris S, Flemington A, Bray SR.","Sports Med. 2019 Dec 24. doi: 10.1007/s40279-019-01204-8. [Epub ahead of print] Review.","Sports Med.  2019","PubMed","citation","PMID:31873926","pubmed","31873926","create date:2019/12/25 | first author:Brown DMY",
"Relationship between exclusive breastfeeding and cardiorespiratory fitness in children and adolescents: a meta-analysis.","/pubmed/31872465","Berlanga-Macías C, Álvarez-Bueno C, Martínez-Hortelano JA, Garrido-Miguel M, Pozuelo-Carrascosa DP, Martínez-Vizcaíno V.","Scand J Med Sci Sports. 2019 Dec 23. doi: 10.1111/sms.13622. [Epub ahead of print] Review.","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31872465","pubmed","31872465","create date:2019/12/25 | first author:Berlanga-Macías C",
