Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Data-informed Intervention Improves Football Technique and Reduces Head Impacts.","/pubmed/31269008","Champagne AA, DiStefano V, Boulanger MM, Magee B, Coverdale NS, Gallucci D, Guskiewicz K, Cook DJ.","Med Sci Sports Exerc. 2019 Jun 20. doi: 10.1249/MSS.0000000000002046. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31269008","pubmed","31269008","create date:2019/07/04 | first author:Champagne AA",
"Do Self-Myofascial Release Devices Release Myofascia? Rolling Mechanisms: A Narrative Review.","/pubmed/31256353","Behm DG, Wilke J.","Sports Med. 2019 Jun 29. doi: 10.1007/s40279-019-01149-y. [Epub ahead of print] Review.","Sports Med.  2019","PubMed","citation","PMID:31256353","pubmed","31256353","create date:2019/07/01 | first author:Behm DG",
"Expression of concern: Is interval training the magic bullet for fat loss? A systematic review and meta-analysis comparing moderate-intensity continuous training with high-intensity training (HIIT).","/pubmed/31248869","[No authors listed]","Br J Sports Med. 2019 Jun 27. pii: bjsports-2018-099928eoc1. doi: 10.1136/bjsports-2018-099928eoc1. [Epub ahead of print] No abstract available. ","Br J Sports Med.  2019","PubMed","citation","PMID:31248869","pubmed","31248869","create date:2019/06/30",
"The Physiology of Auto Racing: A Brief Review.","/pubmed/31246718","Reid MB, Lightfoot JT.","Med Sci Sports Exerc. 2019 Jun 25. doi: 10.1249/MSS.0000000000002070. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31246718","pubmed","31246718","create date:2019/06/28 | first author:Reid MB",
"Methodological Recommendations for Menstrual Cycle Research in Sports and Exercise.","/pubmed/31246715","de Jonge XJ, Thompson B, Han A.","Med Sci Sports Exerc. 2019 Jun 25. doi: 10.1249/MSS.0000000000002073. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31246715","pubmed","31246715","create date:2019/06/28 | first author:de Jonge XJ",
"Cytokine and Sclerostin Response to High-Intensity Interval Running versus Cycling.","/pubmed/31246713","Kouvelioti R, Kurgan N, Falk B, Ward WE, Josse AR, Klentrou P.","Med Sci Sports Exerc. 2019 Jun 25. doi: 10.1249/MSS.0000000000002076. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31246713","pubmed","31246713","create date:2019/06/28 | first author:Kouvelioti R",
"Shaping healthy habits in children with neurodevelopmental and mental health disorders: parent perceptions of barriers, facilitators and promising strategies.","/pubmed/31242904","Bowling A, Blaine RE, Kaur R, Davison KK.","Int J Behav Nutr Phys Act. 2019 Jun 26;16(1):52. doi: 10.1186/s12966-019-0813-6.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31242904","pubmed","31242904","create date:2019/06/28 | first author:Bowling A",
"Venous Thromboemboli Associated with Acute Aerobic Exercise: A Review of Case Report Commonalities.","/pubmed/31241786","Taylor BA, Parducci PM, Zaleski AL, Panza GA, Pescatello LS, Thompson PD.","Scand J Med Sci Sports. 2019 Jun 26. doi: 10.1111/sms.13505. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31241786","pubmed","31241786","create date:2019/06/27 | first author:Taylor BA",
"Eat, play, live: a randomized controlled trial within a natural experiment examining the role of nutrition policy and capacity building in improving food environments in recreation and sport facilities.","/pubmed/31238919","Olstad DL, Raine KD, Prowse RJL, Tomlin D, Kirk SF, McIsaac JD, Mâsse LC, Caswell MS, Hanning RM, Milford T, Naylor PJ.","Int J Behav Nutr Phys Act. 2019 Jun 25;16(1):51. doi: 10.1186/s12966-019-0811-8.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31238919","pubmed","31238919","create date:2019/06/27 | first author:Olstad DL",
"Can Resistance Training Improve Upper Limb Postural Tremor, Force Steadiness and Dexterity in Older Adults? A Systematic Review.","/pubmed/31236903","Keogh JWL, O'Reilly S, O'Brien E, Morrison S, Kavanagh JJ.","Sports Med. 2019 Jun 24. doi: 10.1007/s40279-019-01141-6. [Epub ahead of print] Review.","Sports Med.  2019","PubMed","citation","PMID:31236903","pubmed","31236903","create date:2019/06/27 | first author:Keogh JWL",
"Anterior Cruciate Ligament Reconstruction in Young Female Athletes: Patellar Versus Hamstring Tendon Autografts.","/pubmed/31233335","Salem HS, Varzhapetyan V, Patel N, Dodson CC, Tjoumakaris FP, Freedman KB.","Am J Sports Med. 2019 Jun 24:363546519854762. doi: 10.1177/0363546519854762. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31233335","pubmed","31233335","create date:2019/06/25 | first author:Salem HS",
