Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;
"Hip Arthroscopic Management Can Improve Osteitis Pubis and Bone Marrow Edema in Competitive Soccer Players With Femoroacetabular Impingement.,""/pubmed/30664355"",""Saito M, Utsunomiya H, Hatakeyama A, Nakashima H, Nishimura H, Matsuda DK, Sakai A, Uchida S."",""Am J Sports Med. 2019 Jan 21:363546518819099. doi: 10.1177/0363546518819099. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30664355"",""pubmed"",""30664355"",""create date:2019/01/22 | first author:Saito M"",";;
"Age-Appropriate Pediatric Sports Patient-Reported Outcome Measures and Their Psychometric Properties: A Systematic Review.,""/pubmed/30649907"",""Suryavanshi JR, Goto R, Jivanelli B";" PRiSM Outcomes Measures Research Interest Group., Fabricant PD, Aberdeen J, Duer T, Lam KC, Franklin CC, MacDonald J, Shea KG."",""Am J Sports Med. 2019 Jan 16:363546518818822. doi: 10.1177/0363546518818822. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30649907"",""pubmed"",""30649907"",""create date:2019/01/17 | first author:Suryavanshi JR"",";
"Anatomic Features of the Tibial Plateau Predict Outcomes of ACL Reconstruction Within 7 Years After Surgery.,""/pubmed/30640519"",""Kiapour AM, Yang DS, Badger GJ, Karamchedu NP, Murray MM, Fadale PD, Hulstyn MJ, Shalvoy RM, Fleming BC."",""Am J Sports Med. 2019 Jan 14:363546518823556. doi: 10.1177/0363546518823556. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30640519"",""pubmed"",""30640519"",""create date:2019/01/15 | first author:Kiapour AM"",";;
"Posterior Tibial Slope and Risk of Posterior Cruciate Ligament Injury.,""/pubmed/30640507"",""Bernhardson AS, DePhillipo NN, Daney BT, Kennedy MI, Aman ZS, LaPrade RF."",""Am J Sports Med. 2019 Jan 14:363546518819176. doi: 10.1177/0363546518819176. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30640507"",""pubmed"",""30640507"",""create date:2019/01/15 | first author:Bernhardson AS"",";;
"Delayed ACL Reconstruction in Patients ≥40 Years of Age Is Associated With Increased Risk of Medial Meniscal Injury at 1 Year.,""/pubmed/30624961"",""Stone JA, Perrone GS, Nezwek TA, Cui Q, Vlad SC, Richmond JC, Salzler MJ."",""Am J Sports Med. 2019 Jan 9:363546518817749. doi: 10.1177/0363546518817749. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30624961"",""pubmed"",""30624961"",""create date:2019/01/10 | first author:Stone JA"",";;
"Professional Athletes Are Not at a Higher Risk of Infections After Anterior Cruciate Ligament Reconstruction: Incidence of Septic Arthritis, Additional Costs, and Clinical Outcomes From the French Prospective Anterior Cruciate Ligament Study (FAST) Cohort.,""/pubmed/30481480"",""Bohu Y, Klouche S, Herman S, de Pamphilis O, Gerometta A, Lefevre N."",""Am J Sports Med. 2019 Jan";"47(1):104-111. doi: 10.1177/0363546518810527. Epub 2018 Nov 27."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30481480"",""pubmed"",""30481480"",""create date:2018/11/28 | first author:Bohu Y"",";
"Predictors of 5-Year Citation Rate in the Orthopaedic Sports Medicine Literature.,""/pubmed/30481045"",""Movassagi K, Kunze KN, Beck EC, Fu MC, Nho SJ."",""Am J Sports Med. 2019 Jan";"47(1):206-211. doi: 10.1177/0363546518810504. Epub 2018 Nov 27."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30481045"",""pubmed"",""30481045"",""create date:2018/11/28 | first author:Movassagi K"",";
"Injury epidemiology and risk factors in competitive artistic gymnasts: a systematic review.,""/pubmed/30670379"",""Campbell RA, Bradshaw EJ, Ball NB, Pease DL, Spratford W."",""Br J Sports Med. 2019 Jan 22. pii: bjsports-2018-099547. doi: 10.1136/bjsports-2018-099547. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30670379"",""pubmed"",""30670379"",""create date:2019/01/24 | first author:Campbell RA"",";;
"Subacromial decompression surgery for adults with shoulder pain: a systematic review with meta-analysis.,""/pubmed/30647053"",""Lähdeoja T, Karjalainen T, Jokihaara J, Salamh P, Kavaja L, Agarwal A, Winters M, Buchbinder R, Guyatt G, Vandvik PO, Ardern CL."",""Br J Sports Med. 2019 Jan 15. pii: bjsports-2018-100486. doi: 10.1136/bjsports-2018-100486. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30647053"",""pubmed"",""30647053"",""create date:2019/01/17 | first author:Lähdeoja T"",";;
"Efficacy of heavy eccentric calf training for treating mid-portion Achilles tendinopathy: a systematic review and meta-analysis.,""/pubmed/30636702"",""Murphy MC, Travers MJ, Chivers P, Debenham JR, Docking SI, Rio EK, Gibson W."",""Br J Sports Med. 2019 Jan 13. pii: bjsports-2018-099934. doi: 10.1136/bjsports-2018-099934. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30636702"",""pubmed"",""30636702"",""create date:2019/01/15 | first author:Murphy MC"",";;
"Correction: Prenatal exercise (including but not limited to pelvic floor muscle training) and urinary incontinence during and following pregnancy: a systematic review and meta-analysis.,""/pubmed/30606751"",""[No authors listed]"",""Br J Sports Med. 2019 Jan";"53(2):e1. doi: 10.1136/bjsports-2018-099780corr1. No abstract available. "",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30606751"",""pubmed"",""30606751"",""create date:2019/01/05"",";
"Systematic review of musculoskeletal injuries in professional golfers.,""/pubmed/30366967"",""Robinson PG, Murray IR, Duckworth AD, Hawkes R, Glover D, Tilley NR, Hillman R, Oliver CW, Murray AD."",""Br J Sports Med. 2019 Jan";"53(1):13-18. doi: 10.1136/bjsports-2018-099572. Epub 2018 Oct 26."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30366967"",""pubmed"",""30366967"",""create date:2018/10/28 | first author:Robinson PG"",";
"Impact of prenatal exercise on maternal harms, labour and delivery outcomes: a systematic review and meta-analysis.,""/pubmed/30337349"",""Davenport MH, Ruchat SM, Sobierajski F, Poitras VJ, Gray CE, Yoo C, Skow RJ, Jaramillo Garcia A, Barrowman N, Meah VL, Nagpal TS, Riske L, James M, Nuspl M, Weeks A, Marchand AA, Slater LG, Adamo KB, Davies GA, Barakat R, Mottola MF."",""Br J Sports Med. 2019 Jan";"53(2):99-107. doi: 10.1136/bjsports-2018-099821. Epub 2018 Oct 18."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30337349"",""pubmed"",""30337349"",""create date:2018/10/20 | first author:Davenport MH"",";
"Is supine exercise associated with adverse maternal and fetal outcomes? A systematic review.,""/pubmed/30337348"",""Mottola MF, Nagpal TS, Bgeginski R, Davenport MH, Poitras VJ, Gray CE, Davies GA, Adamo KB, Slater LG, Barrowman N, Barakat R, Ruchat SM."",""Br J Sports Med. 2019 Jan";"53(2):82-89. doi: 10.1136/bjsports-2018-099919. Epub 2018 Oct 18."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30337348"",""pubmed"",""30337348"",""create date:2018/10/20 | first author:Mottola MF"",";
