Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;
"ACTman: Automated preprocessing and analysis of actigraphy data.,""/pubmed/31813761"",""Kunkels YK, Knapen SE, Zuidersma M, Wichers M, Riese H, Emerencia AC."",""J Sci Med Sport. 2019 Nov 18. pii: S1440-2440(19)30287-7. doi: 10.1016/j.jsams.2019.11.009. [Epub ahead of print]"",""J Sci Med Sport.  2019"",""PubMed"",""citation"",""PMID:31813761"",""pubmed"",""31813761"",""create date:2019/12/10 | first author:Kunkels YK"",";;
"Distinct Coordination Strategies Associated with the Drop Vertical Jump Task.,""/pubmed/31809412"",""DiCesare CA, Minai AA, Riley MA, Ford KR, Hewett TE, Myer GD."",""Med Sci Sports Exerc. 2019 Nov 27. doi: 10.1249/MSS.0000000000002235. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31809412"",""pubmed"",""31809412"",""create date:2019/12/07 | first author:DiCesare CA"",";;
"Energy Deficit Required for Exercise-induced Improvements in Glycemia the Next Day.,""/pubmed/31809409"",""Schleh MW, Pitchford LM, Gillen JB, Horowitz JF."",""Med Sci Sports Exerc. 2019 Nov 27. doi: 10.1249/MSS.0000000000002211. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31809409"",""pubmed"",""31809409"",""create date:2019/12/07 | first author:Schleh MW"",";;
"Tramadol Does Not Improve Performance or Impair Motor Function in Trained Cyclists.,""/pubmed/31809408"",""Bejder J, Andersen AB, Bonne TC, Piil JF, Hagen LCH, Dehnes Y, Eibye KH, Nybo L, Nordsborg NB."",""Med Sci Sports Exerc. 2019 Nov 27. doi: 10.1249/MSS.0000000000002217. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31809408"",""pubmed"",""31809408"",""create date:2019/12/07 | first author:Bejder J"",";;
"Intravenous fluids and their use in sport: A position statement from the Australian Institute of Sport.,""/pubmed/31784237"",""Pomroy S, Lovell G, Hughes D, Vlahovich N."",""J Sci Med Sport. 2019 Nov 5. pii: S1440-2440(19)30774-1. doi: 10.1016/j.jsams.2019.10.020. [Epub ahead of print] Review."",""J Sci Med Sport.  2019"",""PubMed"",""citation"",""PMID:31784237"",""pubmed"",""31784237"",""create date:2019/12/01 | first author:Pomroy S"",";;
"Unilateral jump landing neuromechanics of individuals with chronic ankle instability.,""/pubmed/31784236"",""Moisan G, Mainville C, Descarreaux M, Cantin V."",""J Sci Med Sport. 2019 Nov 11. pii: S1440-2440(19)31297-6. doi: 10.1016/j.jsams.2019.11.003. [Epub ahead of print]"",""J Sci Med Sport.  2019"",""PubMed"",""citation"",""PMID:31784236"",""pubmed"",""31784236"",""create date:2019/12/01 | first author:Moisan G"",";;
"Does Acute Fatigue Negatively Affect Intrinsic Risk Factors of the Lower Extremity Injury Risk Profile? A Systematic and Critical Review.,""/pubmed/31782066"",""Verschueren J, Tassignon B, De Pauw K, Proost M, Teugels A, Van Cutsem J, Roelands B, Verhagen E, Meeusen R."",""Sports Med. 2019 Nov 29. doi: 10.1007/s40279-019-01235-1. [Epub ahead of print] Review."",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31782066"",""pubmed"",""31782066"",""create date:2019/11/30 | first author:Verschueren J"",";;
"Optimising the 'Mid-Stage' Training and Testing Process After ACL Reconstruction.,""/pubmed/31782065"",""Buckthorpe M, Della Villa F."",""Sports Med. 2019 Nov 28. doi: 10.1007/s40279-019-01222-6. [Epub ahead of print] Review."",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31782065"",""pubmed"",""31782065"",""create date:2019/11/30 | first author:Buckthorpe M"",";;
"Exercise treatment effect modifiers in persistent low back pain: an individual participant data meta-analysis of 3514 participants from 27 randomised controlled trials.,""/pubmed/31780447"",""Hayden JA, Wilson MN, Stewart S, Cartwright JL, Smith AO, Riley RD, van Tulder M, Bendix T, Cecchi F, Costa LOP, Dufour N, Ferreira ML, Foster NE, Gudavalli MR, Hartvigsen J, Helmhout P, Kool J, Koumantakis GA, Kovacs FM, Kuukkanen T, Long A, Macedo LG, et al."",""Br J Sports Med. 2019 Nov 28. pii: bjsports-2019-101205. doi: 10.1136/bjsports-2019-101205. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31780447"",""pubmed"",""31780447"",""create date:2019/11/30 | first author:Hayden JA"",";;
"Higher neck strength is associated with lower head acceleration during purposeful heading in soccer: A systematic review.,""/pubmed/31780360"",""Peek K, Elliott JM, Orr R."",""J Sci Med Sport. 2019 Nov 12. pii: S1440-2440(19)30660-7. doi: 10.1016/j.jsams.2019.11.004. [Epub ahead of print] Review."",""J Sci Med Sport.  2019"",""PubMed"",""citation"",""PMID:31780360"",""pubmed"",""31780360"",""create date:2019/11/30 | first author:Peek K"",";;
