Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Pterins as diagnostic markers of exercise-induced stress: a systematic review.","/pubmed/31501021","Lindsay A, Gieseg SP.","J Sci Med Sport. 2019 Aug 24. pii: S1440-2440(19)30698-X. doi: 10.1016/j.jsams.2019.08.018. [Epub ahead of print] Review.","J Sci Med Sport.  2019","PubMed","citation","PMID:31501021","pubmed","31501021","create date:2019/09/11 | first author:Lindsay A",
"A Critical Evaluation of Current Methods for Exercise Prescription in Women and Men.","/pubmed/31479001","Iannetta D, Inglis EC, Mattu AT, Fontana FY, Pogliaghi S, Keir DA, Murias JM.","Med Sci Sports Exerc. 2019 Aug 30. doi: 10.1249/MSS.0000000000002147. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31479001","pubmed","31479001","create date:2019/09/04 | first author:Iannetta D",
"Evaluation of a sport-specific field test to determine maximal lactate accumulation rate and sprint performance parameters in running.","/pubmed/31477377","Quittmann OJ, Appelhans D, Abel T, Strüder HK.","J Sci Med Sport. 2019 Aug 22. pii: S1440-2440(19)30332-9. doi: 10.1016/j.jsams.2019.08.013. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31477377","pubmed","31477377","create date:2019/09/04 | first author:Quittmann OJ",
"Do the landing mechanics of experienced netball players differ from those of trained athletes competing in sports that do not require frequent landings?","/pubmed/31471120","Collings TJ, Gorman AD, Stuelcken MC, Mellifont DB, Sayers MGL.","J Sci Med Sport. 2019 Aug 21. pii: S1440-2440(19)30546-8. doi: 10.1016/j.jsams.2019.08.017. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31471120","pubmed","31471120","create date:2019/09/01 | first author:Collings TJ",
"A Majority of Anterior Cruciate Ligament Injuries Can Be Prevented by Injury Prevention Programs: A Systematic Review of Randomized Controlled Trials and Cluster-Randomized Controlled Trials With Meta-analysis.","/pubmed/31469584","Huang YL, Jung J, Mulligan CMS, Oh J, Norcross MF.","Am J Sports Med. 2019 Aug 30:363546519870175. doi: 10.1177/0363546519870175. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31469584","pubmed","31469584","create date:2019/08/31 | first author:Huang YL",
"Isolated effects of caffeine and sodium bicarbonate ingestion on performance in the Yo-Yo test: A systematic review and meta-analysis.","/pubmed/31466868","Grgic J, Garofolini A, Pickering C, Duncan MJ, Tinsley GM, Del Coso J.","J Sci Med Sport. 2019 Aug 21. pii: S1440-2440(19)30489-X. doi: 10.1016/j.jsams.2019.08.016. [Epub ahead of print] Review.","J Sci Med Sport.  2019","PubMed","citation","PMID:31466868","pubmed","31466868","create date:2019/08/31 | first author:Grgic J",
"Plate size and food consumption: a pre-registered experimental study in a general population sample.","/pubmed/31462252","Kosīte D, König LM, De-Loyde K, Lee I, Pechey E, Clarke N, Maynard O, Morris RW, Munafò MR, Marteau TM, Fletcher PC, Hollands GJ.","Int J Behav Nutr Phys Act. 2019 Aug 28;16(1):75. doi: 10.1186/s12966-019-0826-1.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31462252 | PMCID:PMC6714429","pubmed","31462252","create date:2019/08/30 | first author:Kosīte D",
"Professional Athletes Are at Higher Risk of Septic Arthritis After Anterior Cruciate Ligament Reconstruction: An Analysis of 4421 Consecutive Patients Including 265 Elite Athletes From the SANTI Study Group.","/pubmed/31461315","Sonnery-Cottet B, Saithna A, Abreu FG, Franck F, de Abreu GV, Vieira TD, Daggett M, Pioger C.","Am J Sports Med. 2019 Aug 28:363546519869326. doi: 10.1177/0363546519869326. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31461315","pubmed","31461315","create date:2019/08/29 | first author:Sonnery-Cottet B",
"Smaller dishware to reduce energy intake: fact or fiction?","/pubmed/31455333","Olstad DL, Collins C.","Int J Behav Nutr Phys Act. 2019 Aug 28;16(1):73. doi: 10.1186/s12966-019-0831-4.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31455333 | PMCID:PMC6712639","pubmed","31455333","create date:2019/08/29 | first author:Olstad DL",
"Contemporary Periodization of Altitude Training for Elite Endurance Athletes: A Narrative Review.","/pubmed/31452130","Mujika I, Sharma AP, Stellingwerff T.","Sports Med. 2019 Aug 26. doi: 10.1007/s40279-019-01165-y. [Epub ahead of print] Review.","Sports Med.  2019","PubMed","citation","PMID:31452130","pubmed","31452130","create date:2019/08/28 | first author:Mujika I",
