Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"General health complaints and sleep associated with new injury within an endurance sporting population: A prospective study.","/pubmed/31862338","Johnston R, Cahalan R, Bonnett L, Maguire M, Glasgow P, Madigan S, O'Sullivan K, Comyns T.","J Sci Med Sport. 2019 Nov 1. pii: S1440-2440(18)30854-5. doi: 10.1016/j.jsams.2019.10.013. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31862338","pubmed","31862338","create date:2019/12/22 | first author:Johnston R",
"We have the injury prevention exercise programme, but how well do youth follow it?","/pubmed/31843441","Perera NKP, Hägglund M.","J Sci Med Sport. 2019 Nov 18. pii: S1440-2440(19)30577-8. doi: 10.1016/j.jsams.2019.11.008. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31843441","pubmed","31843441","create date:2019/12/18 | first author:Perera NKP",
"Acute Apnea Does Not Improve 3-km Cycling Time Trial Performance.","/pubmed/31809413","Bouten J, Colosio AL, Bourgois G, Lootens L, Van Eenoo P, Bourgois JG, Boone J.","Med Sci Sports Exerc. 2019 Nov 27. doi: 10.1249/MSS.0000000000002236. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31809413","pubmed","31809413","create date:2019/12/07 | first author:Bouten J",
"Distinct Coordination Strategies Associated with the Drop Vertical Jump Task.","/pubmed/31809412","DiCesare CA, Minai AA, Riley MA, Ford KR, Hewett TE, Myer GD.","Med Sci Sports Exerc. 2019 Nov 27. doi: 10.1249/MSS.0000000000002235. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31809412","pubmed","31809412","create date:2019/12/07 | first author:DiCesare CA",
"Bilateral Gait Six and Twelve Months Post-ACL Reconstruction Compared to Controls.","/pubmed/31809411","Davis-Wilson HC, Pfeiffer SJ, Johnston CD, Seeley MK, Harkey MS, Blackburn JT, Fockler RP, Spang JT, Pietrosimone B.","Med Sci Sports Exerc. 2019 Nov 27. doi: 10.1249/MSS.0000000000002208. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31809411","pubmed","31809411","create date:2019/12/07 | first author:Davis-Wilson HC",
"Energy Deficit Required for Exercise-induced Improvements in Glycemia the Next Day.","/pubmed/31809409","Schleh MW, Pitchford LM, Gillen JB, Horowitz JF.","Med Sci Sports Exerc. 2019 Nov 27. doi: 10.1249/MSS.0000000000002211. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31809409","pubmed","31809409","create date:2019/12/07 | first author:Schleh MW",
"Tramadol Does Not Improve Performance or Impair Motor Function in Trained Cyclists.","/pubmed/31809408","Bejder J, Andersen AB, Bonne TC, Piil JF, Hagen LCH, Dehnes Y, Eibye KH, Nybo L, Nordsborg NB.","Med Sci Sports Exerc. 2019 Nov 27. doi: 10.1249/MSS.0000000000002217. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31809408","pubmed","31809408","create date:2019/12/07 | first author:Bejder J",
"Association of sport participation in preterm and full term born children and body and fat mass indices from age 3 to 14 years.","/pubmed/31785988","Spiegler J, Mendonça M, Wolke D.","J Sci Med Sport. 2019 Nov 21. pii: S1440-2440(19)30326-3. doi: 10.1016/j.jsams.2019.11.006. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31785988","pubmed","31785988","create date:2019/12/02 | first author:Spiegler J",
"Training intensity-dependent increases in corticospinal but not intracortical excitability after acute strength training.","/pubmed/31785009","Colomer-Poveda D, Hortobágyi T, Keller M, Romero-Arenas S, Márquez G.","Scand J Med Sci Sports. 2019 Nov 29. doi: 10.1111/sms.13608. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31785009","pubmed","31785009","create date:2019/12/01 | first author:Colomer-Poveda D",
"Unilateral jump landing neuromechanics of individuals with chronic ankle instability.","/pubmed/31784236","Moisan G, Mainville C, Descarreaux M, Cantin V.","J Sci Med Sport. 2019 Nov 11. pii: S1440-2440(19)31297-6. doi: 10.1016/j.jsams.2019.11.003. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31784236","pubmed","31784236","create date:2019/12/01 | first author:Moisan G",
"Diverse school community engagement with the North Carolina active routes to school project: a diffusion study.","/pubmed/31783871","LaJeunesse S, Thompson S, Pullen-Seufert N, Kolbe MB, Heiny S, Thomas C, Johnson ER.","Int J Behav Nutr Phys Act. 2019 Nov 29;16(1):118. doi: 10.1186/s12966-019-0889-z.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31783871 | PMCID:PMC6884761","pubmed","31783871","create date:2019/12/01 | first author:LaJeunesse S",
"Superior cardiac mechanics without structural adaptations in pre-adolescent soccer players.","/pubmed/31779474","Beaumont A, Oxborough D, George K, Rowland TW, Sculthorpe N, Lord R, Unnithan VB.","Eur J Prev Cardiol. 2019 Nov 28:2047487319890177. doi: 10.1177/2047487319890177. [Epub ahead of print]","Eur J Prev Cardiol.  2019","PubMed","citation","PMID:31779474","pubmed","31779474","create date:2019/11/30 | first author:Beaumont A",
"Glenohumeral external rotation weakness partially accounts for increased humeral rotation torque in youth baseball pitchers.","/pubmed/31776067","Wasserberger KW, Barfield JW, Downs JL, Oliver GD.","J Sci Med Sport. 2019 Nov 5. pii: S1440-2440(19)30668-1. doi: 10.1016/j.jsams.2019.10.025. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31776067","pubmed","31776067","create date:2019/11/30 | first author:Wasserberger KW",
"Eating behaviors and weight loss outcomes in a 12-month randomized trial of diet and/or exercise intervention in postmenopausal women.","/pubmed/31775800","Mason C, de Dieu Tapsoba J, Duggan C, Wang CY, Alfano CM, McTiernan A.","Int J Behav Nutr Phys Act. 2019 Nov 27;16(1):113. doi: 10.1186/s12966-019-0887-1.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31775800 | PMCID:PMC6882083","pubmed","31775800","create date:2019/11/30 | first author:Mason C",
