Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Factors that Impact Self-reported Wellness Scores in Elite Australian Footballers.","/pubmed/31895301","Ruddy JD, Cormack S, Timmins RG, Sakadjian A, Pietsch S, Carey DL, Williams MD, Opar DA.","Med Sci Sports Exerc. 2019 Dec 31. doi: 10.1249/MSS.0000000000002244. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31895301","pubmed","31895301","create date:2020/01/03 | first author:Ruddy JD",
"Longitudinal Changes in Children's Accelerometer-derived Activity Pattern Metrics.","/pubmed/31895300","Dunton GF, Yang CH, Zink J, Dzubur E, Belcher BR.","Med Sci Sports Exerc. 2019 Dec 31. doi: 10.1249/MSS.0000000000002247. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31895300","pubmed","31895300","create date:2020/01/03 | first author:Dunton GF",
"Lactalbumin, Not Collagen, Augments Muscle Protein Synthesis with Aerobic Exercise.","/pubmed/31895298","Oikawa SY, MacInnis MJ, Tripp TR, McGlory C, Baker SK, Phillips SM.","Med Sci Sports Exerc. 2019 Dec 31. doi: 10.1249/MSS.0000000000002253. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31895298","pubmed","31895298","create date:2020/01/03 | first author:Oikawa SY",
"Predictors of the Acute Postprandial Response to Breaking Up Prolonged Sitting.","/pubmed/31895295","Henson J, Edwardson CL, Celis-Morales CA, Davies MJ, Dunstan DW, Esliger DW, Gill JMR, Kazi A, Khunti K, King J, McCarthy M, Sattar N, Stensel DJ, Velayudhan L, Zaccardi F, Yates T.","Med Sci Sports Exerc. 2019 Dec 31. doi: 10.1249/MSS.0000000000002249. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31895295","pubmed","31895295","create date:2020/01/03 | first author:Henson J",
"Incidence of Achilles tendinopathy and associated risk factors in recreational runners: A large prospective cohort study.","/pubmed/31892510","Lagas IF, Fokkema T, Verhaar JAN, Bierma-Zeinstra SMA, van Middelkoop M, de Vos RJ.","J Sci Med Sport. 2019 Dec 19. pii: S1440-2440(19)30599-7. doi: 10.1016/j.jsams.2019.12.013. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31892510","pubmed","31892510","create date:2020/01/02 | first author:Lagas IF",
"Prospective Randomized Comparison of Capsular Management Techniques During Hip Arthroscopy.","/pubmed/31891553","Economopoulos KJ, Chhabra A, Kweon C.","Am J Sports Med. 2019 Dec 31:363546519894301. doi: 10.1177/0363546519894301. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31891553","pubmed","31891553","create date:2020/01/01 | first author:Economopoulos KJ",
"Pathoanatomy of the Jones Fracture in Male University Soccer Players.","/pubmed/31887064","Fujitaka K, Tanaka Y, Taniguchi A, Ogawa M, Isomoto S, Otuki S, Okubo M.","Am J Sports Med. 2019 Dec 30:363546519893365. doi: 10.1177/0363546519893365. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31887064","pubmed","31887064","create date:2019/12/31 | first author:Fujitaka K",
"Physical and perceptual cooling: Improving cognitive function, mood disturbance and time to fatigue in the heat.","/pubmed/31884683","Saldaris JM, Landers GJ, Lay BS.","Scand J Med Sci Sports. 2019 Dec 29. doi: 10.1111/sms.13623. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31884683","pubmed","31884683","create date:2019/12/31 | first author:Saldaris JM",
"Longitudinal association of changes in diet with changes in body weight and waist circumference in subjects at high cardiovascular risk: the PREDIMED trial.","/pubmed/31882021","Konieczna J, Romaguera D, Pereira V, Fiol M, Razquin C, Estruch R, Asensio EM, Babio N, Fitó M, Gómez-Gracia E, Ros E, Lapetra J, Arós F, Serra-Majem L, Pintó X, Toledo E, Sorlí JV, Bulló M, Schröder H, Martínez-González MA.","Int J Behav Nutr Phys Act. 2019 Dec 27;16(1):139. doi: 10.1186/s12966-019-0893-3.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31882021 | PMCID:PMC6935084","pubmed","31882021","create date:2019/12/29 | first author:Konieczna J",
"Effects of Long-Term Exercise on Liver Cyst in Polycystic Liver Disease Model Rats.","/pubmed/31880641","Sato Y, Qiu J, Miura T, Kohzuki M, Ito O.","Med Sci Sports Exerc. 2019 Dec 26. doi: 10.1249/MSS.0000000000002251. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31880641","pubmed","31880641","create date:2019/12/28 | first author:Sato Y",
"Shoe Cushioning Influences the Running Injury Risk According to Body Mass: A Randomized Controlled Trial Involving 848 Recreational Runners.","/pubmed/31877062","Malisoux L, Delattre N, Urhausen A, Theisen D.","Am J Sports Med. 2019 Dec 26:363546519892578. doi: 10.1177/0363546519892578. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31877062","pubmed","31877062","create date:2019/12/27 | first author:Malisoux L",
"The Influence of Lumbosacral Spine Pathology on Minimum 2-Year Outcome After Hip Arthroscopy: A Nested Case-Control Analysis.","/pubmed/31877059","Beck EC, Nwachukwu BU, Chapman R, Gowd AK, Waterman BR, Nho SJ.","Am J Sports Med. 2019 Dec 26:363546519892916. doi: 10.1177/0363546519892916. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31877059","pubmed","31877059","create date:2019/12/27 | first author:Beck EC",
