Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;
"Ankle Lateral Ligament Augmentation Versus the Modified Broström-Gould Procedure: A 5-Year Randomized Controlled Trial.,""/pubmed/30699039"",""Porter M, Shadbolt B, Ye X, Stuart R."",""Am J Sports Med. 2019 Jan 30:363546518820529. doi: 10.1177/0363546518820529. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30699039"",""pubmed"",""30699039"",""create date:2019/01/31 | first author:Porter M"",";;
"A Prospective Analysis of Patients With Anterior Versus Posterior Shoulder Instability: A Matched Cohort Examination and Surgical Outcome Analysis of 200 Patients.,""/pubmed/30698986"",""Bernhardson AS, Murphy CP, Aman ZS, LaPrade RF, Provencher MT."",""Am J Sports Med. 2019 Jan 30:363546518819199. doi: 10.1177/0363546518819199. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30698986"",""pubmed"",""30698986"",""create date:2019/01/31 | first author:Bernhardson AS"",";;
"Biomechanical Comparison of Ulnar Collateral Ligament Reconstruction With a Modified Docking Technique With and Without Suture Augmentation.,""/pubmed/30689955"",""Leasure J, Reynolds K, Thorne M, Escamilla R, Akizuki K."",""Am J Sports Med. 2019 Jan 28:363546518820304. doi: 10.1177/0363546518820304. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30689955"",""pubmed"",""30689955"",""create date:2019/01/29 | first author:Leasure J"",";;
"Kinematics and Laxity of the Ankle Joint in Anatomic and Nonanatomic Anterior Talofibular Ligament Repair: A Biomechanical Cadaveric Study.,""/pubmed/30681886"",""Shoji H, Teramoto A, Sakakibara Y, Kamiya T, Watanabe K, Fujie H, Yamashita T."",""Am J Sports Med. 2019 Jan 25:363546518820527. doi: 10.1177/0363546518820527. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30681886"",""pubmed"",""30681886"",""create date:2019/01/27 | first author:Shoji H"",";;
"Partial Meniscectomy for Degenerative Medial Meniscal Root Tears Shows Favorable Outcomes in Well-Aligned, Nonarthritic Knees.,""/pubmed/30673297"",""Lee BS, Bin SI, Kim JM, Park MH, Lee SM, Bae KH."",""Am J Sports Med. 2019 Jan 23:363546518819225. doi: 10.1177/0363546518819225. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30673297"",""pubmed"",""30673297"",""create date:2019/01/24 | first author:Lee BS"",";;
"Simvastatin With PRP Promotes Chondrogenesis of Bone Marrow Stem Cells In Vitro and Wounded Rat Achilles Tendon-Bone Interface Healing In Vivo.,""/pubmed/30668918"",""Zhang Y, Yu J, Zhang J, Hua Y."",""Am J Sports Med. 2019 Jan 22:363546518819108. doi: 10.1177/0363546518819108. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30668918"",""pubmed"",""30668918"",""create date:2019/01/23 | first author:Zhang Y"",";;
"Steep Posterior Tibial Slope, Anterior Tibial Subluxation, Deep Posterior Lateral Femoral Condyle, and Meniscal Deficiency Are Common Findings in Multiple Anterior Cruciate Ligament Failures: An MRI Case-Control Study.,""/pubmed/30657705"",""Grassi A, Macchiarola L, Urrizola Barrientos F, Zicaro JP, Costa Paz M, Adravanti P, Dini F, Zaffagnini S."",""Am J Sports Med. 2019 Jan 18:363546518823544. doi: 10.1177/0363546518823544. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30657705"",""pubmed"",""30657705"",""create date:2019/01/19 | first author:Grassi A"",";;
"Osteointegration of a Novel Silk Fiber-Based ACL Scaffold by Formation of a Ligament-Bone Interface.,""/pubmed/30653344"",""Teuschl AH, Tangl S, Heimel P, Schwarze UY, Monforte X, Redl H, Nau T."",""Am J Sports Med. 2019 Jan 17:363546518818792. doi: 10.1177/0363546518818792. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30653344"",""pubmed"",""30653344"",""create date:2019/01/18 | first author:Teuschl AH"",";;
"Risk Factors for Lateral Meniscus Posterior Root Tears in the Anterior Cruciate Ligament-Injured Knee: An Epidemiological Analysis of 3956 Patients From the SANTI Study Group.,""/pubmed/30649904"",""Praz C, Vieira TD, Saithna A, Rosentiel N, Kandhari V, Nogueira H, Sonnery-Cottet B."",""Am J Sports Med. 2019 Jan 16:363546518818820. doi: 10.1177/0363546518818820. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30649904"",""pubmed"",""30649904"",""create date:2019/01/17 | first author:Praz C"",";;
"Return to Sport and Reoperation Rates in Patients Under the Age of 20 After Primary Anterior Cruciate Ligament Reconstruction: Risk Profile Comparing 3 Patient Groups Predicated Upon Skeletal Age.,""/pubmed/30645948"",""Cordasco FA, Black SR, Price M, Wixted C, Heller M, Asaro LA, Nguyen J, Green DW."",""Am J Sports Med. 2019 Jan 15:363546518819217. doi: 10.1177/0363546518819217. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:30645948"",""pubmed"",""30645948"",""create date:2019/01/16 | first author:Cordasco FA"",";;
