Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Low intensity rowing with blood flow restriction over 5 weeks increases V̇O(2)max in elite rowers: A randomized controlled trial.","/pubmed/31672481","Held S, Behringer M, Donath L.","J Sci Med Sport. 2019 Oct 15. pii: S1440-2440(19)30568-7. doi: 10.1016/j.jsams.2019.10.002. [Epub ahead of print]","J Sci Med Sport.  2019","PubMed","citation","PMID:31672481","pubmed","31672481","create date:2019/11/02 | first author:Held S",
"Eccentric contraction-induced muscle damage in human Flexor Pollicis Brevis is accompanied by impairment of motor nerve.","/pubmed/31663641","Ochi E, Ueda H, Tsuchiya Y, Kouzaki K, Nakazato K.","Scand J Med Sci Sports. 2019 Oct 30. doi: 10.1111/sms.13589. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31663641","pubmed","31663641","create date:2019/10/31 | first author:Ochi E",
"Long-Term Efficacy of Conditioning Training Program Combined with Feedback on Kinetics and Kinematics in Male Runners.","/pubmed/31663640","Letafatkar A, Rabiei P, Farivar N, Alamouti G.","Scand J Med Sci Sports. 2019 Oct 30. doi: 10.1111/sms.13587. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31663640","pubmed","31663640","create date:2019/10/31 | first author:Letafatkar A",
"Association between eccentric knee flexor strength and hamstring injury risk in 185 elite Gaelic football players.","/pubmed/31663638","Roe M, Delahunt E, McHugh M, Gissane C, Malone S, Collins K, Blake C.","Scand J Med Sci Sports. 2019 Oct 30. doi: 10.1111/sms.13588. [Epub ahead of print]","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:31663638","pubmed","31663638","create date:2019/10/31 | first author:Roe M",
"The Anterolateral Structure of the Knee Does Not Affect Anterior and Dynamic Rotatory Stability in Anterior Cruciate Ligament Injury: Quantitative Evaluation With the Electromagnetic Measurement System.","/pubmed/31657944","Araki D, Matsushita T, Hoshino Y, Nagai K, Nishida K, Koga H, Nakamura T, Katakura M, Muneta T, Kuroda R.","Am J Sports Med. 2019 Oct 28:363546519879692. doi: 10.1177/0363546519879692. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31657944","pubmed","31657944","create date:2019/10/29 | first author:Araki D",
"Biomechanical Effects of Additional Anterolateral Structure Reconstruction With Different Femoral Attachment Sites on Anterior Cruciate Ligament Reconstruction.","/pubmed/31657943","Katakura M, Koga H, Nakamura T, Araki D, Nagai K, Nishida K, Kuroda R, Muneta T.","Am J Sports Med. 2019 Oct 28:363546519880192. doi: 10.1177/0363546519880192. [Epub ahead of print]","Am J Sports Med.  2019","PubMed","citation","PMID:31657943","pubmed","31657943","create date:2019/10/29 | first author:Katakura M",
"Does early anterior cruciate ligament reconstruction prevent development of meniscal damage? Results from a secondary analysis of a randomised controlled trial.","/pubmed/31653779","Snoeker BA, Roemer FW, Turkiewicz A, Lohmander S, Frobell RB, Englund M.","Br J Sports Med. 2019 Oct 25. pii: bjsports-2019-101125. doi: 10.1136/bjsports-2019-101125. [Epub ahead of print]","Br J Sports Med.  2019","PubMed","citation","PMID:31653779","pubmed","31653779","create date:2019/10/28 | first author:Snoeker BA",
"Changes in diet and physical activity resulting from the Strong Hearts, Healthy Communities randomized cardiovascular disease risk reduction multilevel intervention trial.","/pubmed/31653260","Folta SC, Paul L, Nelson ME, Strogatz D, Graham M, Eldridge GD, Higgins M, Wing D, Seguin-Fowler RA.","Int J Behav Nutr Phys Act. 2019 Oct 25;16(1):91. doi: 10.1186/s12966-019-0852-z.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31653260 | PMCID:PMC6815048","pubmed","31653260","create date:2019/10/28 | first author:Folta SC",
"Evaluation of a voluntary nutritional information program versus calorie labelling on menus in Canadian restaurants: a quasi-experimental study design.","/pubmed/31653256","Vanderlee L, White CM, Hammond D.","Int J Behav Nutr Phys Act. 2019 Oct 25;16(1):92. doi: 10.1186/s12966-019-0854-x.","Int J Behav Nutr Phys Act.  2019","PubMed","citation","PMID:31653256 | PMCID:PMC6814965","pubmed","31653256","create date:2019/10/28 | first author:Vanderlee L",
"Midsole Properties Affect the Amplitude of Soft-Tissue Vibrations in Heel-Toe Runners.","/pubmed/31652248","Giandolini M, Romain JP, Horvais N, Nigg BM.","Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002194. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31652248","pubmed","31652248","create date:2019/10/28 | first author:Giandolini M",
"Football Increases Future Risk for Symptomatic Radiographic Knee Osteoarthritis.","/pubmed/31652246","Lo GH, McAlindon TE, Kriska AM, Price LL, Rockette-Wagner BJ, Mandl LA, Eaton CB, Hochberg MC, Jackson RD, Kwoh CK, Nevitt MC, Driban JB.","Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002189. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31652246","pubmed","31652246","create date:2019/10/28 | first author:Lo GH",
"Ankle Coordination in Chronic Ankle Instability, Coper, and Control Groups in Running.","/pubmed/31652242","Kwon YU, Harrison K, Kweon SJ, Blaise Williams DS 3rd.","Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002170. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31652242","pubmed","31652242","create date:2019/10/28 | first author:Kwon YU",
"Cardiovascular Testing Detects Underlying Dysfunction in Childhood Leukemia Survivors.","/pubmed/31652239","Long TM, Lee F, Lam K, Wallman KE, Walwyn TS, Choong CS, Naylor LH.","Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002168. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31652239","pubmed","31652239","create date:2019/10/28 | first author:Long TM",
"Impact of Exercise-Nutritional State Interactions in Patients with Type 2 Diabetes.","/pubmed/31652237","Verboven K, Wens I, Vandenabeele F, Stevens A, Celie B, Lapauw B, Dendale P, van Loon LJC, Calders P, Hansen D.","Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002165. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31652237","pubmed","31652237","create date:2019/10/28 | first author:Verboven K",
"Increasing Students' Activity in Physical Education: Results of the SELF-FIT Trial.","/pubmed/31652232","Ha AS, Lonsdale C, Lubans DR, Ng JYY.","Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002172. [Epub ahead of print]","Med Sci Sports Exerc.  2019","PubMed","citation","PMID:31652232","pubmed","31652232","create date:2019/10/28 | first author:Ha AS",
